signatures,tumor_type
SBS34,Kidney.RCC
SBS26,Kidney.RCC
SBS20,Kidney.RCC
SBS21,Kidney.RCC
SBS98,Kidney.RCC
SBS97,Kidney.RCC
SBS1,Liver.HCC
SBS2,Liver.HCC
SBS5,Liver.HCC
SBS13,Liver.HCC
SBS17b,Liver.HCC
SBS22,Liver.HCC
SBS24,Liver.HCC
SBS8,Liver.HCC
SBS18,Liver.HCC
SBS3,Liver.HCC
SBS35,Liver.HCC
SBS30,Liver.HCC
SBS85,Liver.HCC
SBS12,Liver.HCC
SBS92,Liver.HCC
SBS4,Liver.HCC
SBS16,Liver.HCC
SBS19,Liver.HCC
SBS53,Liver.HCC
SBS26,Liver.HCC
SBS15,Liver.HCC
SBS20,Liver.HCC
SBS21,Liver.HCC
SBS96,Liver.HCC
SBS98,Liver.HCC
SBS97,Liver.HCC
SBS1,Lung.AdenoCA
SBS2,Lung.AdenoCA
SBS5,Lung.AdenoCA
SBS13,Lung.AdenoCA
SBS17a,Lung.AdenoCA
SBS17b,Lung.AdenoCA
SBS18,Lung.AdenoCA
SBS3,Lung.AdenoCA
SBS92,Lung.AdenoCA
SBS4,Lung.AdenoCA
SBS28,Lung.AdenoCA
SBS1,Lung.SCC
SBS2,Lung.SCC
SBS5,Lung.SCC
SBS13,Lung.SCC
SBS22,Lung.SCC
SBS18,Lung.SCC
SBS3,Lung.SCC
SBS92,Lung.SCC
SBS4,Lung.SCC
SBS33,Lung.SCC
SBS1,Lymph.BNHL
SBS2,Lymph.BNHL
SBS5,Lymph.BNHL
SBS13,Lymph.BNHL
SBS17a,Lymph.BNHL
SBS17b,Lymph.BNHL
SBS8,Lymph.BNHL
SBS9,Lymph.BNHL
SBS3,Lymph.BNHL
SBS41,Lymph.BNHL
SBS30,Lymph.BNHL
SBS85,Lymph.BNHL
SBS36,Lymph.BNHL
SBS93,Lymph.BNHL
SBS34,Lymph.BNHL
SBS1,Lymph.CLL
SBS2,Lymph.CLL
SBS5,Lymph.CLL
SBS17b,Lymph.CLL
SBS8,Lymph.CLL
SBS9,Lymph.CLL
SBS41,Lymph.CLL
SBS30,Lymph.CLL
SBS85,Lymph.CLL
SBS36,Lymph.CLL
