signatures,tumor_type
ID18,Eso.AdenoCA
ID20,Eso.AdenoCA
ID24,Eso.AdenoCA
ID1,Head.SCC
ID2,Head.SCC
ID3,Head.SCC
ID4,Head.SCC
ID5,Head.SCC
ID6,Head.SCC
ID8,Head.SCC
ID9,Head.SCC
ID11b,Head.SCC
ID14,Head.SCC
ID18,Head.SCC
ID22,Head.SCC
ID1,Kidney.ChRCC
ID2,Kidney.ChRCC
ID5,Kidney.ChRCC
ID6,Kidney.ChRCC
ID8,Kidney.ChRCC
ID10,Kidney.ChRCC
ID11b,Kidney.ChRCC
ID12,Kidney.ChRCC
ID18,Kidney.ChRCC
ID19,Kidney.ChRCC
ID21,Kidney.ChRCC
ID23,Kidney.ChRCC
ID1,Kidney.RCC
ID2,Kidney.RCC
ID3,Kidney.RCC
ID5,Kidney.RCC
ID6,Kidney.RCC
ID7,Kidney.RCC
ID8,Kidney.RCC
ID10,Kidney.RCC
ID11b,Kidney.RCC
ID19,Kidney.RCC
ID20,Kidney.RCC
ID21,Kidney.RCC
ID25,Kidney.RCC
ID1,Liver.HCC
ID2,Liver.HCC
ID3,Liver.HCC
ID4,Liver.HCC
ID5,Liver.HCC
ID6,Liver.HCC
ID7,Liver.HCC
ID8,Liver.HCC
ID9,Liver.HCC
ID10,Liver.HCC
ID11a,Liver.HCC
ID11b,Liver.HCC
ID12,Liver.HCC
ID14,Liver.HCC
ID18,Liver.HCC
ID19,Liver.HCC
ID20,Liver.HCC
ID22,Liver.HCC
ID23,Liver.HCC
ID25,Liver.HCC
ID26,Liver.HCC
ID1,Lung.AdenoCA
ID2,Lung.AdenoCA
ID3,Lung.AdenoCA
ID4,Lung.AdenoCA
ID5,Lung.AdenoCA
ID6,Lung.AdenoCA
ID7,Lung.AdenoCA
ID8,Lung.AdenoCA
ID9,Lung.AdenoCA
ID10,Lung.AdenoCA
ID11b,Lung.AdenoCA
ID12,Lung.AdenoCA
ID14,Lung.AdenoCA
ID18,Lung.AdenoCA
ID19,Lung.AdenoCA
ID20,Lung.AdenoCA
ID21,Lung.AdenoCA
ID22,Lung.AdenoCA
ID24,Lung.AdenoCA
ID26,Lung.AdenoCA
ID1,Lung.SCC
ID2,Lung.SCC
ID3,Lung.SCC
ID6,Lung.SCC
ID8,Lung.SCC
ID11b,Lung.SCC
ID18,Lung.SCC
ID1,Lymph.BNHL
ID2,Lymph.BNHL
ID6,Lymph.BNHL
ID8,Lymph.BNHL
ID18,Lymph.BNHL
ID1,Lymph.CLL
ID2,Lymph.CLL
ID4,Lymph.CLL
ID5,Lymph.CLL
ID8,Lymph.CLL
ID9,Lymph.CLL
ID19,Lymph.CLL
ID1,Myeloid.AML
ID2,Myeloid.AML
ID3,Myeloid.AML
ID5,Myeloid.AML
ID6,Myeloid.AML
ID8,Myeloid.AML
ID9,Myeloid.AML
ID10,Myeloid.AML
ID11b,Myeloid.AML
ID17,Myeloid.AML
ID18,Myeloid.AML
ID19,Myeloid.AML
ID20,Myeloid.AML
ID21,Myeloid.AML
ID22,Myeloid.AML
ID23,Myeloid.AML
ID25,Myeloid.AML
ID1,Myeloid.MDS
ID3,Myeloid.MDS
ID5,Myeloid.MDS
ID6,Myeloid.MDS
ID10,Myeloid.MDS
ID11b,Myeloid.MDS
ID12,Myeloid.MDS
ID18,Myeloid.MDS
ID20,Myeloid.MDS
ID21,Myeloid.MDS
ID25,Myeloid.MDS
ID1,Myeloid.MPN
ID2,Myeloid.MPN
ID3,Myeloid.MPN
ID6,Myeloid.MPN
ID8,Myeloid.MPN
ID9,Myeloid.MPN
ID11b,Myeloid.MPN
ID17,Myeloid.MPN
ID18,Myeloid.MPN
ID19,Myeloid.MPN
ID20,Myeloid.MPN
ID21,Myeloid.MPN
ID23,Myeloid.MPN
ID25,Myeloid.MPN
ID1,Ovary.AdenoCA
ID2,Ovary.AdenoCA
ID3,Ovary.AdenoCA
ID4,Ovary.AdenoCA
ID6,Ovary.AdenoCA
ID8,Ovary.AdenoCA
ID9,Ovary.AdenoCA
ID11b,Ovary.AdenoCA
ID12,Ovary.AdenoCA
ID14,Ovary.AdenoCA
ID18,Ovary.AdenoCA
ID19,Ovary.AdenoCA
ID20,Ovary.AdenoCA
ID22,Ovary.AdenoCA
ID25,Ovary.AdenoCA
ID1,Panc.AdenoCA
ID2,Panc.AdenoCA
ID5,Panc.AdenoCA
ID6,Panc.AdenoCA
ID7,Panc.AdenoCA
ID8,Panc.AdenoCA
ID9,Panc.AdenoCA
ID11a,Panc.AdenoCA
ID11b,Panc.AdenoCA
ID12,Panc.AdenoCA
ID14,Panc.AdenoCA
ID18,Panc.AdenoCA
ID19,Panc.AdenoCA
ID20,Panc.AdenoCA
ID21,Panc.AdenoCA
ID23,Panc.AdenoCA
ID24,Panc.AdenoCA
ID25,Panc.AdenoCA
ID26,Panc.AdenoCA
ID1,Panc.Endocrine
ID2,Panc.Endocrine
ID3,Panc.Endocrine
ID4,Panc.Endocrine
ID5,Panc.Endocrine
ID6,Panc.Endocrine
ID7,Panc.Endocrine
ID8,Panc.Endocrine
ID9,Panc.Endocrine
ID10,Panc.Endocrine
ID11b,Panc.Endocrine
ID14,Panc.Endocrine
ID18,Panc.Endocrine
ID19,Panc.Endocrine
ID21,Panc.Endocrine
ID22,Panc.Endocrine
ID23,Panc.Endocrine
ID25,Panc.Endocrine
ID1,Prost.AdenoCA
ID2,Prost.AdenoCA
ID3,Prost.AdenoCA
ID4,Prost.AdenoCA
ID5,Prost.AdenoCA
ID6,Prost.AdenoCA
ID7,Prost.AdenoCA
ID8,Prost.AdenoCA
ID9,Prost.AdenoCA
ID10,Prost.AdenoCA
ID11b,Prost.AdenoCA
ID12,Prost.AdenoCA
ID18,Prost.AdenoCA
ID19,Prost.AdenoCA
ID20,Prost.AdenoCA
ID21,Prost.AdenoCA
ID22,Prost.AdenoCA
ID23,Prost.AdenoCA
ID24,Prost.AdenoCA
