SP27825,SP24708,SP24301,SP27201,SP28791,SP23739,SP24702,SP25332,SP28335,SP26709,SP25350,SP25380,SP24565,SP25833,SP25905,SP26439,SP24236,SP24815,SP27957,SP27603,SP24135,SP26499,SP25518,SP28659,SP23622,SP27939,SP23754,SP29697,SP27339,SP29559,SP29331,SP26475,SP23775,SP28275,SP28581,SP23639,SP24391,SP28041,SP26649
2481,2611,2468,2647,543,1490,1712,438,1976,1079,2384,2452,1889,1356,1456,609,2964,2987,3133,2773,2703,952,3286,3165,1560,2350,1052,1376,1852,442,2389,1305,2453,2101,2404,2305,2297,4345,2121
1769,1366,1459,838,1448,4481,2358,1308,1659,1453,1332,1509,1212,1151,1055,4309,312,1256,719,1701,1745,2578,1761,6855,893,3349,2048,2795,1197,2114,1870,1103,9544,4047,4839,4848,1351,1267,759
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4175,3742,3353,3265,1256,0,3882,0,4467,1888,3232,4228,2410,4433,3558,0,7681,6918,4632,4229,4173,0,5562,0,2609,0,0,0,2166,2401,3533,3620,0,0,0,0,3165,5669,2077
